indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
6155A,2005-01-01,23.0,-0.2,1,17.5,61,2.0
6155A,2005-02-01,24.4,1.6,8,19.2,63,110.3
6155A,2005-03-01,25.6,3.6,14,16.1,72,60.1
6155A,2005-04-01,30.0,8.4,3,19.7,57,21.9
6155A,2005-05-01,32.6,12.0,9,15.6,53,6.8
6155A,2005-06-01,37.2,16.4,1,15.6,53,0.0
6155A,2005-07-01,40.4,17.6,0,16.1,51,0.0
6155A,2005-08-01,38.0,17.0,1,13.9,61,0.2
6155A,2005-09-01,37.4,12.8,3,15.6,57,0.7
6155A,2005-10-01,27.4,11.2,9,15.6,71,45.8
6155A,2005-11-01,24.0,5.5,8,20.6,66,44.8
6155A,2005-12-01,21.6,4.0,8,23.3,70,3.6
